ID	colors	Folio	Scholia	Number or attribution	Biblical verse	Number of scholia per biblical verse	Identification	Notes
276		19v	203exa 	Ἰωάννου and sign 	Rom 3:31 (II)	3	Chrys., hom 1‒32 in Rom. (CPG 4427), hom. 7: Field, 1854, 96, E 2–6	
277	Green	19v	203exb 	Θεοδω(ρήτου) and sign 	Rom 3:31-4:1 (II)	4	Thdt., Rom., II, 10 (CPG 6209): Lorrain, 2015a, 191.10, 10–13	The sign is located above the beginning of Rom 4:1, but the scholium comments on Rom 3:31, as supported by Lorrain. 2015a. 
278	Orange	19v	203exc 	Τοῦ αὐτοῦ	Rom 4:1 (I)	1	Thdt., Rom., II, 10 (CPG 6209): Lorrain, 2015a. 193.11, 1–4	
279		19v	204	δ´	Rom 4:1 (I)	2	Unattributed	
280		20r	204ex 	Γενναδ(ίου) and sign 	Rom 4:1 (I)	3	Genn., fr. Rom. (CPG 5973): Staab, 1933, 362, 7–12	
281		20r	204Ph	Φωτ(ίου) 	Rom 4:1 (I)	4	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 488, 31–36, 489, 1–33.	
282		20r	205	ε´	Rom 4:1 (II)	5	Unattributed	
283	Orange	20v	206	ϛ´	Rom 4:2	1	Unattributed	
284	Orange	20v	207	ζ´	Rom 4:3	1	Unattributed	
285	Orange	20v	208	η´ 	Rom 4:4	1	Unattributed	
286	Green	20v	208Ph	Sign 	Rom 4:5 (I–II)	1	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 489, 34–36	
287		20v	209	θ´	Rom 4:5 (I)	2	Unattributed	The number is present only above the biblical lemma.
288		20v	210	ι´	Rom 4:5 (II)	3	Unattributed	The number is present only above the biblical lemma. 
289	Orange	20v	211	ια´	Rom 4:6	1	Unattributed	The number is present only above the biblical lemma.
290	Orange	21r	212	ιβ´	Rom 4:7 (I)	1	Unattributed	
291		21r	212Ph	Φωτ(ίου) 	Rom 4:7 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 490, 1–13 	
292	Orange	21r	213	ιγ´	Rom 4:9 (I)	1	Unattributed	
293		21r	214	ιδ´	Rom 4:9 (II)	2	Unattributed	
294	Orange	21r	215	ιε´	Rom 4:10	1	Unattributed	
295	Orange	21v	215ex	(Σευη)ρ(ιανο)ῦ	Rom 4:11 (I)	1	Sever., Rom.‒Heb. (CPG 4219): Staab, 1933, 217, 11–15	The symbol is like the monogram for Origen.
296		21v	216	ιϛ´	Rom 4:11 (I)	2	Unattributed	
297		21v	216Ph	Φωτ(ίου) 	Rom 4:11 (I)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 490, 14–26 	
298		21v	217	[ι]ζ´	Rom 4:11 (II)	4	Unattributed	
299		21v	218	[ι]η´	Rom 4:11 (III)	5	Unattributed	
300		21v	219	[ι]θ´	Rom 4:11 (IV)	6	Unattributed	
301		21v	220	–	Rom 4:11 (V)	7	Unattributed	
302		21v	221	[κ]α´ 	Rom 4:11 (VI)	8	Unattributed	
303	Orange	21v	221Ph	Φωτ(ίου) and sign	Rom 4:12 (I)	1	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 490, 27–33 	The monogram and the sign are present only in front of the scholium.
304		22r	222	κβ´	Rom 4:12 (I)	2	Unattributed	
305		22r	223	κγ´	Rom 4:12 (II)	3	Unattributed	
306		22r	223Ph	Φωτ(ίου) 	Rom 4:12 (III)	4	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 491, 1–4 	
307		22r	224	κδ´ 	Rom 4:12 (III)	5	Unattributed	
308		22r	225	κε´	Rom 4:12 (IV)	6	Unattributed	
309	Orange	22r	226	κϛ´	Rom 4:13 (I)	1	Unattributed	
310		22r	226ex	Σευηριαν(οῦ) and sign 	Rom 4:13 (II)	2	Sever., Rom.‒Heb. (CPG 4219): Staab, 1933, 217, 16–19	
311		22v	227	κζ´	Rom 4:13 (II)	3	Unattributed	
